Business Name,Address,Phone,Website
Howdens - Benton,"· Units 2C, 2D North Tyne Industrial Estate, Whitley Rd",· 0191 270 0516,https://www.howdens.com/find-a-depot/benton?y_source=1_ODgxMzQ1MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Cavendish Kitchens & Bedrooms Ltd,"· North Tyne Industrial Estate, Whitley Rd",· 0191 266 0211,https://www.cavendish-kbb.co.uk/
Benchmarx Kitchen Showroom,"· Unit 4A, North Tyne Industrial Estate, Whitley Rd",· 0191 259 9524,https://www.benchmarxkitchens.co.uk/branches/newcastle-longbenton?y_source=1_MTA4ODc1ODk2NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Attic Conversions NE Limited,"· Attic Conversions NE Limited, 59 Walton Ave",· 0191 691 8787,https://atticconversionsne.co.uk/
Northumberland Renovations,· 27 Claremont Cres,· 07423 676905,https://www.northumberlandrenovations.co.uk/
Balfour Beatty,· Q14 Quorum Business Park,· 0191 228 2000,https://www.balfourbeatty.com/
Ultimate Home Improvements,· 39 Cauldwell Ln,· 0191 251 7040,
Acre Design LTD,· CAI Building,· 0191 680 8088,https://www.google.com/aclk?sa=L&ai=DChsSEwj05cOh9LaSAxUpklAGHWymNCQYACICCAEQARoCZGc&co=1&ase=2&gclid=Cj0KCQiA7fbLBhDJARIsAOAqhsd0A720A4sYqu-HFYA7xcGJGQe1r118DJZN439pGLPaRdvQ6vt1xhQaAvk-EALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_05Zjo72cukS9vKjphg5_ZRmN8NoA&adurl&q&ctype=99&nis=6
Northumberland Renovations,· 27 Claremont Crescent,· 07423 676905,https://www.google.com/aclk?sa=L&ai=DChsSEwj05cOh9LaSAxUpklAGHWymNCQYACICCAEQABoCZGc&co=1&ase=2&gclid=Cj0KCQiA7fbLBhDJARIsAOAqhsc_yMoRFkF4_aGWhCf00FZi2mRQG8JpGkLVnF1nw-9qDzurIZp5C6AaAiFTEALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_1w9WGOJGuw5L7-yKzuRiccgMzQGQ&adurl&q&ctype=99&nis=6
Seaburn Home Improvements,· 2 Station Rd,· 0191 549 1243,http://www.seaburnhomeimprovements.co.uk/
Ar kitchens bedrooms and bathrooms,· Unit 18 Brough Park Way,· 0191 466 1156,http://www.arkitchensandbedrooms.com/
Ellmay home improvements,· 73 Ringwood Dr,· 07445 657193,
Ken Smith Roofing Ltd,· Unit 6-7 Arrow Cl,· 0191 706 8229,http://www.kensmithroofing.co.uk/
Inspira Bathrooms North Shields,· Hamar Cl,· 0191 257 4510,https://www.inspirabathrooms.co.uk/
A&R Roofing and Home Improvement Ltd,· 41 Grange Cres,· 07534 976285,http://www.facebook.com/A.R.Roofing.specialist
Reuben's Home Improvements,· Clifton Rd,· 07876 514447,http://reubenshi.co.uk/
Ace Home Improvements,· 32 Claremont Ave,07860 482321,
Haus12 Interiors,"· Arch 12 Forth Goods Yard, Forth St",· 0191 447 8870,http://www.haus12.co.uk/
Forest Hall Carpets Ltd,· 6 Forest Hall Rd,· 0191 266 5235,http://www.foresthallcarpets.com/
Quay Timber,"· Chillingham Industrial Estate, Back Chapman St",Supplier of new & reclaimed timber,https://www.quaytimber.co.uk/
Grange Interiors,· Narvik Way,· 0191 272 8686,https://www.grange-interiors.com/
Cannon Home Improvements Ltd,· unit 2,0191 389 1331,https://www.cannonhomeimprovements.co.uk/
Newcastle Home Renovations Limited,"· The Greenhouse, Meadowfield Industrial Estate",· 0191 429 1676,https://www.newcastle-home.co.uk/
ACAS Bathrooms,· unit 1 Sunderland Rd,· 0191 438 4617,https://acasbathrooms.co.uk/
MGA Home Improvements,· 4 Sycamore Place,07779 427076,http://mgahomeimprovements.co.uk/
