Business Name,Address,Phone,Website
Northumberland Renovations,· 27 Claremont Crescent,· 07423 676905,https://www.google.com/aclk?sa=L&ai=DChsSEwjd5c-G9cKSAxUjmVAGHehUBSYYACICCAEQARoCZGc&co=1&ase=2&gclid=Cj0KCQiAnJHMBhDAARIsABr7b85vjvq7_rCX7yAdqL-XMp7fKxMyFZ0CujAu8noMrxiVTqbb171aTosaAvjfEALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_3K4cEqA_TzCBaq_RcfowKZEcbgcg&adurl&q&ctype=99&nis=6
Northumberland Renovations,· 27 Claremont Cres,· 07423 676905,https://www.northumberlandrenovations.co.uk/
inspired installations,· 73 Wardley Dr,· 07497 247762,http://www.inspired-installations.com/
B4 BATHROOMS LTD,"· 3a, REDBURN HOUSE, Redburn Rd",· 07368 257651,https://b4bathrooms.com/
Henderson Bathrooms,· Baker Rd,· 01670 735599,http://www.hendersonbathrooms.com/
Newcastle bathroom company ltd,· 6 Hadrian Pl,· 07852 895946,
h2o @ the coast,· 40 Front St,· 0191 252 5175,http://www.h2o-at-the-coast.co.uk/
Ar kitchens bedrooms and bathrooms,· Unit 18 Brough Park Way,· 0191 466 1156,http://www.arkitchensandbedrooms.com/
Uventi Bathrooms | Luxury Showroom,"· Unit 10 & 11, Backworth Studios, Eccleston Cl",· 07453 268255,
Coast Showers,· 22 St Ronan's Rd,· 0191 252 2555,http://www.coastshowers.co.uk/
Splash Bathrooms NE,"· Barrington Industrial Estate, Unit 8 Bowes Ct",· 01670 468749,https://www.splashbathroomsne.co.uk/
Blaydon Bathrooms,· 12 Tundry Way,· 0191 414 4422,http://www.blaydonbathrooms.co.uk/
Blenheim Bathrooms North East,· 8 Blenheim,0191 268 8613,
Clifton Trade Bathrooms North Shields,"· Unit 4, Narvik Way",· 0191 406 4316,https://www.ctb.co.uk/
Allweather Windows,· 25 Cres Way S,· 0191 268 2249,http://www.allweatherwindows.co.uk/
South Tyneside Bathrooms,· 169-171 Prince Edward Rd,· 0191 455 0444,https://www.southtynesidebathrooms.co.uk/
The Walk In Shower Company,"· Unit 1, Galaxy Business Park",· 07368 947434,http://www.walkinshowersnewcastle.co.uk/
Vogue by Ignite,"· Unit G1 10 & 11 Helmsman House Chirton Middle Industrial Estate, Norham Rd N",· 0191 605 3919,http://www.voguebyignite.co.uk/
Apollo Bathrooms Ltd,· 102 Fowler St,· 0191 456 0363,http://www.apollobathrooms.com/
Lakes Plumbing and Heating - North Tyneside,"· Hadrian Park, 47 Augusta Ct",· 0191 511 1008,https://lakesheating.co.uk/
Boldon Bathrooms & Tiles Ltd,"· Unit 1, Boldon Colliery Industrial Estate, Hutton St",· 0191 537 3056,http://www.boldonbathroomsandkitchens.co.uk/
Wickes Newcastle,· Stamfordham Road,· 0191 228 8050,https://www.google.com/aclk?sa=L&ai=DChsSEwiE5vqJ9cKSAxWqk1AGHQ-hLFgYACICCAEQARoCZGc&ae=2&aspm=1&co=1&ase=2&gclid=Cj0KCQiAnJHMBhDAARIsABr7b86zRwojKbHDCWXD1hHsM9fwETzxaSO8U6OMa7Npnp0nKYIEzPTNQKoaAn83EALw_wcB&cce=2&category=acrcp_v1_35&sig=AOD64_1MdEkScoQO6lcG4aRO_RmBc746rw&adurl&q&ctype=99&nis=6
Northumberland Renovations,· 27 Claremont Crescent,· 07423 676905,https://www.google.com/aclk?sa=L&ai=DChsSEwiE5vqJ9cKSAxWqk1AGHQ-hLFgYACICCAEQABoCZGc&co=1&ase=2&gclid=Cj0KCQiAnJHMBhDAARIsABr7b848NmXBrlapbzYa5KW9Jj_obXTclQVUDQoBU3NgNyHlRQwsyi3weasaAocNEALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_3kLzi2dMn9FSQe1HOEt3tqANlsQA&adurl&q&ctype=99&nis=6
North East Kitchen and Bathroom Supplies,· 196 Stanhope Rd,· 07821 646189,https://nebathroomsupplies.co.uk/
Pontiac Service Bathrooms,· 13 St John's Walk,· 07878 800045,
Gosforth Bathrooms & Tiles Ltd.,· 115 High St,· 0191 676 9751,https://www.gosforthbathrooms.net/
Robinson Bathrooms and Heating,"· 2b, Abbotsway",· 07860 852264,http://www.robinsonbathroomsandheating.co.uk/
JB Joinery & Interiors LTD,"· Suite 2.05, Swans Centre For Innovation",· 07710 557709,https://jb-developments.co.uk/
DS Bathrooms Ltd,"· Coopies Lane Industrial Estate, 4 Coopies Haugh",· 07581 377165,https://dsbathrooms.co.uk/
South Tyneside Interiors,· S Eldon St,· 07593 742603,
Bathrooms Today,"· 3 St Bedes, Station Rd",· 0191 519 0999,http://www.bathrooms-today.co.uk/
Inspira Luxury Bathrooms Gateshead,"· Unit 10, Kingsway Interchange, Eleventh Ave",· 0191 491 3005,https://www.inspirabathrooms.co.uk/
Cavendish Kitchens & Bedrooms Ltd,"· North Tyne Industrial Estate, Whitley Rd",· 0191 266 0211,https://www.cavendish-kbb.co.uk/
Sunniside kitchens and bathrooms,· Front street,· 0191 447 0190,http://sunnisidekitchensandbathrooms.co.uk/
Bobbys Bathrooms & Tiles,"· Concept 2000, Sunderland Rd",· 0191 469 2000,
